date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:10	79/79	---M-Z	200	added ('OK')	text/plain	etag:W/%225fd541d0-3b%22	https://sheeptester.github.io/robots.txt		(from )
19:46:10	18763/18763	---M-Z	200	added ('OK')	text/html	etag:W/%225fdd1bf9-494b%22	https://sheeptester.github.io/htmlifier/	C:/Users/Isaac/OneDrive/Desktop/CopyedWebsite/EpicxHubDownloader/sheeptester.github.io/htmlifier/index.html	(from )
19:46:10	1814/1814	---M-Z	200	added ('OK')	text/css	etag:W/%225fd541d0-716%22	https://sheeptester.github.io/sheep3.css	C:/Users/Isaac/OneDrive/Desktop/CopyedWebsite/EpicxHubDownloader/sheeptester.github.io/sheep3.css	(from https://sheeptester.github.io/htmlifier/)
19:46:10	668/668	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fd541d0-29c%22	https://sheeptester.github.io/sheep3.js	C:/Users/Isaac/OneDrive/Desktop/CopyedWebsite/EpicxHubDownloader/sheeptester.github.io/sheep3.js	(from https://sheeptester.github.io/htmlifier/)
19:46:10	3976/3976	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fdd1bf9-f88%22	https://sheeptester.github.io/htmlifier/offlineifier.js	C:/Users/Isaac/OneDrive/Desktop/CopyedWebsite/EpicxHubDownloader/sheeptester.github.io/htmlifier/offlineifier.js	(from https://sheeptester.github.io/htmlifier/)
19:46:10	1599/1599	---M-Z	200	added ('OK')	text/css	etag:W/%225fdd1bf9-63f%22	https://sheeptester.github.io/htmlifier/main.css	C:/Users/Isaac/OneDrive/Desktop/CopyedWebsite/EpicxHubDownloader/sheeptester.github.io/htmlifier/main.css	(from https://sheeptester.github.io/htmlifier/)
19:46:11	5839/5839	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fdd1bf9-16cf%22	https://sheeptester.github.io/htmlifier/download.js	C:/Users/Isaac/OneDrive/Desktop/CopyedWebsite/EpicxHubDownloader/sheeptester.github.io/htmlifier/download.js	(from https://sheeptester.github.io/htmlifier/)
19:46:11	95826/95826	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fdd1bf9-17652%22	https://sheeptester.github.io/htmlifier/jszip.min.js	C:/Users/Isaac/OneDrive/Desktop/CopyedWebsite/EpicxHubDownloader/sheeptester.github.io/htmlifier/jszip.min.js	(from https://sheeptester.github.io/htmlifier/)
19:46:11	11899/11899	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fdd1bf9-2e7b%22	https://sheeptester.github.io/htmlifier/hacky-file-getter.js	C:/Users/Isaac/OneDrive/Desktop/CopyedWebsite/EpicxHubDownloader/sheeptester.github.io/htmlifier/hacky-file-getter.js	(from https://sheeptester.github.io/htmlifier/)
19:46:12	6744096/6744096	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fbb2407-66e820%22	https://sheeptester.github.io/scratch-vm/16-9/vm.min.js	C:/Users/Isaac/OneDrive/Desktop/CopyedWebsite/EpicxHubDownloader/sheeptester.github.io/scratch-vm/16-9/vm.min.js	(from https://sheeptester.github.io/htmlifier/)
